,页面网址,酒店名称,回复ID,回复时间,answer,原ID,question,原时间,clean_question_new,clean_answer_new
19,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,youngozziebuck,19-Nov,"Does anyone know if the Family Room Ground Floor rooms lead straight to pool; if so, aside from room door a thing stopping young kids wandering into the pool?

I like the idea of ground floor but have 6/4/1 year olds and would be constantly worried if no fence.
Cheers!",Answer from kiwicouple99,"We’ve been to the Padma twice and while we haven’t stayed in the family block I’m pretty sure the ground floor rooms open out on to the family pools. There are only 7 GF rooms which run along the pool side, which would mean the 21 standard family rooms would be on the adjacent side plus upstairs. It’s an amazing resort!!",19-Nov,  twice  stayed family block  pretty sure ground floor rooms open family pools gf rooms run along pool side  mean standard family rooms  adjacent side plus upstairs  amazing ,anyone know family  ground floor rooms lead straight pool aside  door thing stopping young kids wandering pool like idea ground floor year olds  constantly worried fence cheers
20,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,hindmarch,19-Nov,"Does anyone know the price of a babysitter through the resort or do they allow outside nannies to enter the hotel? 

Thanks",Answer from darrenberry29,They do allow outside babysitters to enter the resort. Regarding the resort babysitting I would suggest you email the Padma directly for pricing etc,19-Nov,allow outside babysitters enter  regarding  babysitting  suggest email  directly pricing etc,anyone know price babysitter  allow outside nannies enter  thanks
21,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,GoPlaces594107,19-Nov,Hi i would like to book a room for three adults and have breakfast included for the three of us and comfortable beds for a rollaway sounds uncomfortable and the average price for the three of us if we where to stay 4 nights in early june,Answer from SubiSimon,"Hello, You should probably direct your question to the hotel directly.. Enjoy Bali.",19-Nov, probably direct question  directly enjoy ,  like book  three adults breakfast included three  comfortable beds rollaway sounds uncomfortable average price three  stay nights early june
22,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Jouxster,19-Oct,Can you smoke on the balconies of the rooms?,Answer from Amy V,"You can. They offer smoking and non smoking rooms, ashtrays are provided.",19-Nov,offer smoking non smoking rooms ashtrays provided,smoke balconies rooms
23,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Sally402020,19-Oct,"Hi there, I’m looking at staying at Padma, can anyone give me some feedback on the Premier Double Double room? I am travelling with my husband and 2 sons (5&7) 
We have stayed before however it was in one of the suites. Which we LOVED! 
Thank you in advance. 
Sally",Answer from FNQ_Australia,Stick with the suites with club facilities.,19-Nov,stick suites club facilities,  looking staying  anyone give feedback premier double double  travelling husband sons stayed however  suites loved  advance sally
24,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Samara G,19-Oct,Does the Padma Resort offer activities for teenagers? older than 12?,Answer from Spennygirl,My apologies for the delayed response. They only have kids club up to 12 years.,20-Jan,apologies delayed response kids club years,  offer activities teenagers older
25,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Holidaylogy T,19-Oct,What will be the charges for buffet vegetarian dinner and lunch?,Answer from joyfultravel,I think you would find the charges for the buffet would be the same. You would just need to select from the vegetarian options available. I'm not vegetarian so I didn't take any notice of how many vegetarian or vegan options were available.,19-Oct,think  find charges buffet   need select vegetarian options available vegetarian  notice many vegetarian vegan options available,charges buffet vegetarian dinner lunch
26,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Holidaylogy T,19-Oct,"Hi, do you provide vegetarian food during breakfast and dinner time?",Answer from PadmaResort_HM,"Hello holidaylogy T

Yes we do provide a variety of vegetarian menu for breakfast, lunch and dinner. 

Please let us know if your have any special dietary request. 

Thank you :)",19-Oct, holidaylogy  provide variety vegetarian menu breakfast lunch dinner  let  know special dietary request , provide vegetarian food breakfast dinner time
27,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Mtmtravel,19-Sep,Can you add club benefits to your booking or do you need to book a room with the club benefits inclusive?,Answer from waikikitim21,Room with club benefits.... pool access or Garden club room.... we do pool access but GCRs are good too,19-Sep, club benefits pool access garden club  pool access gcrs good,add club benefits booking need book  club benefits inclusive
28,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Mtmtravel,19-Sep,Hi we are attending a birthday in Bali next year August 2020. Do you think it’s too early to book and will prices change much between now and then?,Answer from waikikitim21,"Not too early,...just not necessary...no idea about price",19-Sep,early necessary idea price, attending birthday  next year august think  early book prices change much
29,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,amandadZ5932WU,19-Aug,Does anyone know if Padma allow 3 adults and 2 kids in the Family Rooms? We have booked a family room that has a queen bed in one room and a bunk bed with a trundle in the next room. Do you think they would allow an adult and 2 kinds in the bunk bed/trundle? If it fits 3 people does it matter that it’s not 3kids?,Answer from Rob K,Not sure. One usually pays per adult at the resort considering the breakfast etc. there is enough sleeping room for 5 so should be ok but I would check with the concierge. You could always just check in as 5 people and then make one person arrive later and just do it so they assume it’s a child.,19-Aug,sure  usually pays per adult  considering breakfast etc enough sleeping  ok  check concierge  always check people make  person arrive later assume  child,anyone know  allow adults kids family rooms booked family  queen bed   bunk bed trundle next  think  allow adult kinds bunk bed trundle fits people matter  3kids
30,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Liv Evelyn,19-Aug,"We are booked to stay in a Lagoon View room, however I know the resort is quite big. I have seen on Google maps that the main pool and infinity pool are a fair distance away from the Lagoon View rooms. Is it a big walk to get from one end of the resort to the other?",Answer from Katherine F,"It is a five minute walk through beautiful gardens. There is a lot to enjoy along the way. Sculptures, ponds with koi carp and turtles in them, lovely flower beds, the walk would be v pleasant . Hope this helps.",19-Aug,five minute walk beautiful gardens lot enjoy along way sculptures ponds koi carp turtles lovely flower beds walk  v pleasant hope helps,booked stay lagoon view  however know  quite big seen google maps  pool infinity pool fair distance away lagoon view rooms big walk   end 
31,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Hulya A,19-Aug,Has anyone stayed in the lagoon access room with 2 adults a 5 year old and a infant if I bring my own ports cot or sleeps in the bed with myself? If not which room have you used previously I don’t want a double bed room?,Answer from Colin C,"They don’t allow children under the age of 6. The risk with young children is that there is only that glass door between you and the pool. Stunning rooms, not doubt, my favourite rooms in Bali. Info is available on their website or email them, the staff are very helpful.",19-Aug, allow children age risk young children glass door pool stunning rooms doubt favourite rooms  info available website email staff helpful,anyone stayed lagoon access  adults year old infant  ports cot sleeps bed  used previously   double bed 
32,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Jessica R,19-Aug,Is the ground floor family room a better option considering it costs more?,Answer from PadmaResort_HM,"Dear Jessica R

The advantage of ground floor family room is its direct access to the kids pool, so it's more convenient for family with little ones.",19-Aug, jessica r advantage ground floor family  direct access kids pool convenient family little ones,ground floor family  better option considering costs
33,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Michelle,19-Jul,"Hi 
My family are wanting to stay at Padma Legian in September. There are 5 of us, myself, husband, 13 year old son, adult daughter and her boyfriend. I’m wondering what the best room options are? Was thinking about the studio suite for 3 of us plus a deluxe room for daughter and boyfriend? I am wanting these rooms together if possible. Is there a better option than this to allow privacy but also having rooms close together?",Answer from annette c,I always stay at the Padma it’s brilliant if you want a bit more space I would probably go for a chalet more privacy and bigger rooms however if you want your daughter in a smaller room this wouldn’t work as the Chalets are all together. The hotel would be the way to go which is the where the deluxe and audio suites are,19-Jul,always stay   brilliant  bit space  probably  chalet privacy bigger rooms however  daughter smaller   work chalets together   way  deluxe audio suites, family wanting stay   september  husband year old son adult daughter boyfriend  wondering   options thinking studio suite  plus deluxe  daughter boyfriend wanting rooms together possible better option allow privacy  rooms close together
34,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Michelle,19-Jul,"Hi 
My family are wanting to stay at Padma Legian in September. There are 5 of us, myself, husband, 13 year old son, adult daughter and her boyfriend. I’m wondering what the best room options are? Was thinking about the studio suite for 3 of us plus a deluxe room for daughter and boyfriend? I am wanting these rooms together if possible. Is there a better option than this to allow privacy but also having rooms close together?",Answer from waikikitim21,Always discuss with Padma...very helpful,19-Sep,always discuss  helpful, family wanting stay   september  husband year old son adult daughter boyfriend  wondering   options thinking studio suite  plus deluxe  daughter boyfriend wanting rooms together possible better option allow privacy  rooms close together
35,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Ash Morrison,19-Jul,"I’ve booked a deluxe garden chalet for our stay but noticed in the photos online that the TV is on a side wall in front of a sofa instead of directly in front of the bed view. 
Can someone advise if the TV is on a swivel arm & can be turned to face the bed?",Answer from Dodi G,"The TV faces the bed-  but with a lot happening outside the hotel , you hardly need the TV",19-Aug,tv faces bed lot happening outside  hardly need tv, booked deluxe garden chalet stay noticed photos online tv side wall front sofa instead directly front bed view someone advise tv swivel arm turned face bed
36,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Vicki B,19-Jun,How do iBook a lagoon room Near the kids club?,Answer from les b,E mail them,19-Jun,e mail,ibook lagoon  near kids club
37,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Ginny F,19-Jun,Is WiFi access free for all guests?,Answer from Deb Muss,"Yes the padma gives you there WiFi passwords 
One for your room and around the hotel
It was great , worked all the time for me . They also set it up for me and explained how it worked",19-Jun,  gives wifi passwords   around  great worked time  set explained worked,wifi access free guests
38,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Theresa,19-Jun,"HI There,
I have booked for myself and my two girls to come in January 2020, 
Where is a good place to exchange my money in Bali?
Is there some place in the hotel?
Thanks
Theresa",Answer from PadmaResort_HM,"Hi Theresa, 

You can exchange money at our reception, the rate is quite competitive. 

Beware of short-changing scam when you exchange money outside, they usually offering rate that's too good to be true. Always be the last one to count your money. 

Hope that helps.",19-Jun, theresa exchange money reception rate quite competitive beware short changing scam exchange money outside usually offering rate good true always last  count money hope helps, booked two girls come january good place exchange money  place  thanks theresa
39,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,xtine,19-May,"Hi, looking at the best room/rooms configuration for 4 adults and 1 child ideally need 3 bedrooms but 2 would be ok. Being together is essential. Ideas and previous experience would be appreciated.",Answer from PadmaResort_HM,"Hi xtine1976

For 4 adults and 1 child, 2 rooms should be sufficient. We have connecting rooms on most all room types. Alternatively, we would recommend a Family Suite (a new Deluxe Suite connected to a new Garden Club Chalet) or a two-bedrooms Balcony Suite. 

Please check our website for an overview of what the rooms look like, and don't hesitate to contact our reservation team if you need further information. 

Thank you.",19-May, xtine1976 adults child rooms sufficient connecting rooms  types alternatively  recommend family suite new deluxe suite connected new garden club chalet two bedrooms balcony suite  check website overview rooms look like hesitate contact reservation team need information , looking   rooms configuration adults child ideally need bedrooms  ok together essential ideas previous experience  appreciated
40,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,LSwan5,19-Apr,How much does it cost for a non hotel patron to use the Padma gym please.,Answer from LUX ESCAPES � �,Hi it's about $60usd a month I think-  the prices are displayed in the gym and the staff are very friendly.,19-May, 60usd month think prices displayed gym staff friendly,much cost non  patron use  gym 
41,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Yen C,19-Apr,"Hello!

I am just wondering how far are the chalets to the pool / restaurants etc? We are planning a trip with our baby who would be 18 months old by then. Thank you!",Answer from Francesco N,The further away chalets would be about two or three minutes away from the nearest pool,19-Apr,away chalets  two three minutes away nearest pool, wondering far chalets pool restaurants etc planning trip baby  months old 
42,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Heyzy5,19-Apr,"Hi, can you please tell me if there are any other room options for families besides the family rooms near the kids pool? We are a family of 5 (2 adults, 3 kids - 13, 11 & 7) and we have stayed in the family rooms before, but our kids are a bit old for that now.

Do the chalets come with interconnected rooms? Or are the deluxe rooms the only ones that interconnect?

Thanks,",Answer from Gus and Megan,Yes the Chalet rooms are interconnecting. The rooms are separate but the entrance to the rooms can be locked.,19-Apr, chalet rooms interconnecting rooms separate entrance rooms locked,  tell  options families besides family rooms near kids pool family adults kids stayed family rooms kids bit old chalets come interconnected rooms deluxe rooms ones interconnect thanks
43,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Danielle T,19-Mar,"Hi all. I have booked a premier twin room for my family and I in October this year. As my flights don’t leave until 11.40pm, I was wanting to have a late check out at 6pm. The hotel have notified me that I can’t pre book a late check out and that I have to wait until our last day to see if it’s available. Has anyone had any issues with having a late check out? It concerns me not having it set in stone as I have 2 young children. Thanks so much.",Answer from Deb Muss,"No no problems, I went down a couple of days before I was leaving and they offered me more time than I needed love the Padma can’t wait to go back",19-Jul,problems went couple days leaving offered time needed love   wait  , booked premier twin  family october year flights  leave 40pm wanting late check 6pm  notified  pre book late check wait last  see  available anyone issues late check concerns set stone young children thanks much
44,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,msalexandra1,19-Mar,"We are considering staying at this resort.  How easy or realistic is it to use this as a base to explore Seminyak ie: Eat Street?  It look like about a 4km walk, or are there shuttle buses or taxi's on hand?  We are foodies and all the best restaurants seem to be further North in Seminyak....  Thank you.",Answer from Enza C,"Hi there, Padma has a Bluebird taxi rank right at the front of the lobby, trips  in Bluebird taxi’s are not expensive ( beware of other taxi companies as they dont use metres or have  dodgy metres) Staff at the Padma are always happy to book your favourite restaurants, just allow plently of time in peak hour for travel time.",19-Mar,  bluebird taxi rank right front lobby trips bluebird taxi expensive beware taxi companies dont use metres dodgy metres staff  always happy book favourite restaurants allow plently time peak hour travel time,considering staying  easy realistic use base explore  ie eat street look like 4km walk shuttle buses taxi hand foodies  restaurants seem north  
45,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,blllsmith,19-Mar,"Hi, is it possible to use the kids club without staying at the hotel? If yes, how much is it per child? My two are 3, and 2. 
Thanks",Answer from PadmaResort_HM,"Hi blllsmith

We're sorry, the kids club is available for in-house guests only..",19-Mar, blllsmith sorry kids club available house guests, possible use kids club without staying   much per child two thanks
