,页面网址,酒店名称,评论ID,评论日期,content,clean_content_new
14,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Donna L,23-Mar,"""Book the club room""",book club 
15,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,philhunty,23-Mar,"""Infinity pool can get busy at times but always managed to get a bed even if we waited for 1/2 hr at another bed before hand.""",infinity pool  busy times always managed  bed even waited hr another bed hand
16,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,BujennGoesto,23-Mar,"""The staff in Padma legian resorts all good people with good intentions, just ask what you need politely and be a good traveller.""",staff   resorts good people good intentions ask need politely good traveller
17,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,kerriej59,23-Mar,"""Just sit back and relax and let the wonderful staff look after you """,sit  relax let wonderful staff look
18,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Lauren Avent,23-Mar,"""Staying at the Padma Resort Legain is a must!!""",staying   legain 
19,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,FredCal,23-Mar,"""Deluxe Chalet are the go. Ask for an upgrade join the Padma Resident club""",deluxe chalet  ask upgrade join  resident club
20,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,John B,23-Feb,"""adults only pool over looking the ocean with a great sit around bar""",adults pool looking ocean great sit around bar
21,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Andrew,23-Feb,"""Make sure you give yourself time just to be at the resort amongst the pools, poolside bars and restaurants.""",make sure give   amongst pools poolside bars restaurants
22,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Allison P,23-Feb,"""Eating at The Padma is a must. The Balinese themed night was delicious and culturally beautiful. The Japanese restaurant tepanyaki divine""",eating   balinese themed night delicious culturally beautiful japanese restaurant tepanyaki divine
23,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,mrRob007,23-Feb,"""Club Room, if you would like pool access at your door this is available at Barong or Children's pool areas""",club   like pool access door available barong children pool areas
24,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,The Only Way Is Travel,23-Feb,"""Book a room with Lounge Access""",book  lounge access
25,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Tracey S,23-Feb,"""The staff here are so helpful and genuinely interested in you as their guest, there are no negatives…""",staff helpful genuinely interested guest negatives...
26,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Marc Vdc,23-Feb,"""Try the rooms where the club lounge service is included and experience a different kind of hospitality.""",  club lounge service included experience different kind hospitality
27,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Mick Hyman,23-Feb,"""Deluxe Chalet room are our preferred choice""",deluxe chalet  preferred choice
28,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Mick B,23-Jan,"""It’s very well set out and if it rains there are plenty of covered walk ways,breakfast can be quite crowded""", well set rains plenty covered walk ways breakfast quite crowded
29,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,David B,23-Jan,"""This is a hotel and resort with families in mind """,  families mind
30,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Austraveller,23-Jan,"""Book with Agoda""",book agoda
31,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Patzmum,23-Jan,"""The pool side does defiantly get busy I don’t like not being able to get a spot in the afternoons because people leave their towels out. """,pool side defiantly  busy  like able  spot afternoons people leave towels
32,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Stacey P,23-Jan,"""Very close to the beach, perfect for families, you could easily stay here and not leave the resort and still have a wonderful holiday""",close beach perfect families  easily stay leave  still wonderful holiday
33,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Nicol A,23-Jan,"""Take cash to exchange to local currency as cards are not accepted unless you use the atm machine.""", cash exchange local currency cards accepted unless use atm machine
34,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Suzie C,23-Jan,"""Pool can get busy so maybe have an early breakfast if you're going to have a pool day. Theme nights are great at approx $AU38 """,pool  busy maybe early breakfast going pool  theme nights great approx au38
35,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,misslassie,23-Jan,"""Bring inflatable pool toys from home- the pools are large enough!""", inflatable pool toys home pools large enough
36,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Fiona D,23-Jan,"""Luxury at reasonable $""",luxury reasonable
37,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Christopher L,23-Jan,"""Book early as this resort is very popular""",book early  popular
38,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Polly1308,23-Jan,"""Great location walking distance to restaurants, stores and markets""",great location walking distance restaurants stores markets
39,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Gayle,23-Jan,"""Garden Club is worth it!""",garden club worth
40,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,valerianroots123,22-Dec,"""Family rooms are not as far from the action as you would think""",family  far action  think
41,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,CloudyXMisty,22-Dec,"""I think you should choose the double double room if your traveling with a family""",think choose double double  traveling family
42,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Christian G,22-Dec,"""The loyalty programme is worth looking into""",loyalty programme worth looking
43,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Rod B,22-Dec,"""We had a lagoon view. Pool noise was audible but not intrusive - just others having a great time!""",lagoon view pool noise audible intrusive others great 
44,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,caffeinlover,22-Dec,"""If you travel with other family, you could choose adjoining room.""",travel family  choose adjoining 
45,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,bob,22-Dec,"""Don’t say yes on the beach, the sellers will swamp you and to get an idea on shopping prices go to a fixed price shop (close to Padma)""", say yes beach sellers swamp  idea shopping prices  fixed price shop close 
46,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,kdks,22-Dec,"""You can request for any types of pillows that will make you more comfortable.""",request types pillows make comfortable
47,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,fab c,22-Dec,"""Ask for the Swedish comfort pillow. Room service on channel 1. Infinity pool has amazing shisha 

The beach is across the road """,ask swedish comfort pillow  service channel infinity pool amazing shisha beach across road
48,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Phil H,22-Dec,"""If you are keen to use the pool book a room nearer to the pool 
Would prefer coffee granules in the room it’s much easier """,keen use pool book  nearer pool  prefer coffee granules   much easier
49,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Shaival J,22-Dec,"""Join the morning biking beach activity, worth waking up early. """,join morning biking beach activity worth waking early
50,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Leonord,22-Nov,"""Remember to bring and use mosquito repellent""",remember  use mosquito repellent
51,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Karine K,22-Nov,"""Swimming pool view is great but can be noisy
Rooms facing garden / resort's plantation  areas are much quieter.""",swimming pool view great noisy  facing garden  plantation areas much quieter
52,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Gus and Megan,22-Nov,"""Garden Deluxe Chalets are divine""",garden deluxe chalets divine
53,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Dennis R,22-Nov,"""A good place for families with children""",good place families children
54,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Megan D,22-Nov,"""Any room would be good enough""",  good enough
55,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Taelor R,22-Nov,"""Stop telling everyone how great , fabulous & wonderful it is as the prices will go up & we all won’t be able to afford to stay """,stop telling everyone great fabulous wonderful prices   able afford stay
56,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,rodney c,22-Oct,"""Plenty of pools to choose from,  wonderful shopping close by""",plenty pools choose wonderful shopping close
57,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Filmo13,22-Oct,"""If you are a smoker you can have a room where you can smoke outside on the front deck.""",smoker  smoke outside front deck
58,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,BigBadKiwi,22-Oct,"""Room 409 is corner large 1 bed with lounge and balcony""", corner large bed lounge balcony
59,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Bsgill,22-Oct,"""Breakfast at 7 am or 9:30 am is the quietest. """,breakfast quietest
60,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Don J,22-Oct,"""If using the spa book early due to high demand. """,using spa book early due high demand
61,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,onlyqob,22-Oct,"""If you have a preference when booking a Deluxe Chalet - be aware there are two different room layouts - one with a bath and one without. """,preference booking deluxe chalet aware two different  layouts  bath  without
62,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Kaeli L,22-Oct,"""It gets quite hot in the sun so maybe take a towel to keep wiping your face with and they provide bug spray which is good because need it""",gets quite hot sun maybe  towel keep wiping face provide bug spray good need
63,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Natasha G,22-Oct,"""I have stayed in most rooms however the garden chalets are amazing.""",stayed  however garden chalets amazing
64,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Leonie K,22-Oct,"""We find the club chalet rooms are close to all amenities and provide everything a family could need.""",find club chalet  close amenities provide everything family  need
65,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Freedom46909321270,22-Oct,"""I hope the same for will be helpful for father future tourist to as well, Enjoy the sunny weather and the food of bali, You can trust Padma """,hope helpful father future tourist well enjoy sunny weather food  trust 
66,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,A7471RCluisac,22-Oct,"""Try the archery. It was great fun """, archery great fun
67,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Michele M,22-Oct,"""Chalets are really spacious but the lagoon swim out pools looked great too.""",chalets  spacious lagoon swim pools looked great
68,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Sharon M,22-Oct,"""Club room and extra facilities offered with them are worth considering. excellent food and drink options, warm and personal service.""",club  extra facilities offered worth considering excellent food drink options warm personal service
69,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Kate S,22-Sep,"""Book babysitter early to avoid disappointment""",book babysitter early avoid disappointment
70,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Chellz7,22-Sep,"""We prefer upstairs chalet near the dragon statue in the garden""",prefer upstairs chalet near dragon statue garden
71,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Christine D,22-Sep,"""Deluxe chalet is more quiet, Lagoon room close to pool but noisier""",deluxe chalet quiet lagoon  close pool noisier
72,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,margieclay,22-Aug,"""We had a Garden Club room which for a fee includes a la carte breakfast and cocktails and nibbles for an hour or so in the afternoon.""",garden club  fee includes la carte breakfast cocktails nibbles hour afternoon
73,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Simon M,22-Aug,"""Studia suite""",studia suite
74,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,hugh h,22-Aug,"""We stay in the Delux Chalets and they are excellent""",stay delux chalets excellent
75,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,SalvaMelbourne,22-Aug,"""Chalet rooms""",chalet 
76,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,J J,22-Aug,"""If you can pay the money the chalet/bungelows are even nicer than the hotel.""",pay money chalet bungelows even nicer 
77,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Chris,22-Aug,"""If you are a couple, the garden chalet room was excellent.""",couple garden chalet  excellent
78,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Dazm70,22-Aug,"""Book the club lounge and you will be spoilt and love it �""",book club lounge spoilt love
79,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,LOUISE C,22-Aug,"""Safety deposit box in the rooms
Taxis available from reception 
Babysitters available 
Umbrella provided in room""",safety deposit box  taxis available reception babysitters available umbrella provided 
80,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Kaz D,22-Aug,"""Book the Padma, you won’t be disappointed. It has the best of everything and more.""",book   disappointed best everything
81,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Neil F,22-Aug,"""Pool room ground floor from door to pool. Chalets are very quiet""",pool  ground floor door pool chalets quiet
82,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,SOUL SHAPES L,22-Jul,"""Get ready to relax!!""", ready relax
83,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,arnoindr,22-Jul,"""Choose the garden view room.""",choose garden view 
84,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Mohsen M.,22-Jul,"""Stayed at the Pool Access room. Highly recommended.""",stayed pool access  highly recommended
85,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Lauren H,22-Jul,"""Chalets are nice and private and have lovely garden views""",chalets nice private lovely garden views
86,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,happylittletraveler,22-Jul,"""If you don’t have kids and don’t want to be surrounded by them avoid staying during school holidays as this is a firm family favourite""", kids   surrounded avoid staying school holidays firm family favourite
87,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Ross A,22-Jun,"""Families with school aged children might like the rooms close to the lagoon pools.""",families school aged children might like  close lagoon pools
88,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Keljon60,22-Jun,"""Our room was near the big pool. It was quiet and easily accessed on the ground floor.""", near big pool quiet easily accessed ground floor
89,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,gvantwout,22-Jun,"""Padma is situated on Legian beach. Walking on beach is best in low tide. Great walk is in Seminyak direction. Can easily walk 8 km return.""", situated  beach walking beach best low tide great walk  direction easily walk km return
90,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Shintawati K,22-Jun,"""Do book the day before, fresh open area might as well bring mosquito around, but fear not, they did prepare mosq repellent""",book  fresh open area might well  mosquito around fear prepare mosq repellent
91,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Peter K,22-Jun,"""try a pool access room for a real treat""", pool access  real treat
92,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Schillachi,22-Jun,"""Pool access is one to go. If you have kids, you should choose the one next to family pool.""",pool access   kids choose  next family pool
93,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Mulyanadden,22-Jun,"""Book your event as early as possible!""",book event early possible
94,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Indra Siregar,22-May,"""Dont forget to enjoy all their five pools, kids club, archery, bike, and many more great facilities in Padma Legian, or you will regret!""",dont forget enjoy five pools kids club archery bike many great facilities   regret
95,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,kim,22-May,"""Easy to participate in as it is on site at the resort""",easy participate site 
96,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,princess_0986,22-May,"""Upgrade your stay to Deluxe Chalet""",upgrade stay deluxe chalet
97,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,slaskowski,22-May,"""Upgrade to a Junior suite""",upgrade junior suite
98,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,Digit O,22-May,"""Book your spot 1 day before.""",book spot 
99,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,prtscsandiego,22-May,"""Obviously the climate is very humid here, so I suggest that you advise your delegates accordingly""",obviously climate humid suggest advise delegates accordingly
100,https://www.tripadvisor.com.sg/Hotel_Review-g608487-d307610-Reviews-Padma_Resort_Legian-Legian_Kuta_District_Bali.html,Padma Resort Legian,jimmy_stef,22-May,"""Family room is far from lobby""",family  far lobby
101,https://www.tripadvisor.com.sg/Hotel_Review-g297697-d7856221-Reviews-Amnaya_Resort_Kuta-Kuta_Kuta_District_Bali.html,Amnaya Resort Kuta,Tina L,23-Mar,"""Book this hotel without any concern""",book  without concern
102,https://www.tripadvisor.com.sg/Hotel_Review-g297697-d7856221-Reviews-Amnaya_Resort_Kuta-Kuta_Kuta_District_Bali.html,Amnaya Resort Kuta,Explorer821989,23-Mar,"""The bathroom only has a showerhead, no hand shower""",bathroom showerhead hand shower
103,https://www.tripadvisor.com.sg/Hotel_Review-g297697-d7856221-Reviews-Amnaya_Resort_Kuta-Kuta_Kuta_District_Bali.html,Amnaya Resort Kuta,Scott P,23-Mar,"""they are so good and nice""",good nice
104,https://www.tripadvisor.com.sg/Hotel_Review-g297697-d7856221-Reviews-Amnaya_Resort_Kuta-Kuta_Kuta_District_Bali.html,Amnaya Resort Kuta,decynug,23-Mar,"""should come again""",come
